               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.092074,            0.024984,            0.030235,             0.32194,               0.303,              0.1913,            0.060316,            0.069581,            0.019517,            0.015604,            0.070297,           0.0033003,           0.0033003
                   1,            0.066555,            0.021693,            0.018914,             0.33027,             0.40488,             0.22828,            0.099329,            0.063019,            0.017184,            0.012732,            0.040231,            0.006568,            0.006568
                   2,            0.062167,            0.019981,            0.018596,              0.3844,             0.34917,             0.26809,             0.10675,             0.06076,            0.017755,            0.013462,              0.0101,           0.0097697,           0.0097697
                   3,            0.058804,            0.019599,            0.017582,             0.33209,             0.33799,             0.25398,            0.096779,            0.059022,            0.018284,            0.011728,            0.009703,            0.009703,            0.009703
                   4,            0.056125,            0.019934,            0.016712,               0.384,              0.2786,             0.24467,             0.10261,            0.059794,            0.019813,            0.015437,            0.009703,            0.009703,            0.009703
                   5,             0.05547,            0.020492,            0.015825,             0.39338,             0.32084,              0.2754,             0.13334,            0.062555,            0.018268,            0.010936,            0.009604,            0.009604,            0.009604
                   6,            0.053313,            0.019711,            0.015916,               0.409,             0.39907,             0.29972,             0.13284,            0.056002,            0.018176,            0.010816,            0.009505,            0.009505,            0.009505
                   7,            0.051912,            0.019507,            0.014603,             0.39496,             0.43917,             0.36729,             0.15901,            0.054952,            0.017475,            0.011386,            0.009406,            0.009406,            0.009406
                   8,            0.051561,            0.018985,            0.014612,             0.55263,             0.35519,             0.37132,             0.17471,            0.054862,            0.018854,            0.015121,            0.009307,            0.009307,            0.009307
                   9,            0.051718,            0.018972,             0.01529,             0.50586,             0.40074,             0.34174,             0.13935,            0.053978,            0.018588,            0.010726,            0.009208,            0.009208,            0.009208
                  10,             0.05075,            0.018911,            0.015011,             0.63938,             0.32337,             0.37285,             0.18901,            0.056766,            0.017497,            0.014712,            0.009109,            0.009109,            0.009109
                  11,             0.04863,            0.018865,            0.014422,             0.56866,             0.38594,             0.41484,             0.20537,            0.053953,            0.019125,            0.010457,             0.00901,             0.00901,             0.00901
                  12,            0.048233,            0.018873,            0.013936,               0.532,             0.38284,             0.38745,              0.1882,            0.054803,            0.018497,            0.012674,            0.008911,            0.008911,            0.008911
                  13,            0.048053,             0.01865,            0.013958,             0.52751,             0.40978,             0.39393,             0.20274,            0.055415,            0.018344,            0.011153,            0.008812,            0.008812,            0.008812
                  14,            0.046545,            0.018846,             0.01412,             0.64362,             0.38694,               0.389,             0.20595,            0.054761,            0.018098,            0.019981,            0.008713,            0.008713,            0.008713
                  15,            0.046685,            0.018651,            0.013223,             0.59186,             0.40348,             0.42331,             0.22207,            0.055234,            0.018475,             0.01206,            0.008614,            0.008614,            0.008614
                  16,            0.046418,             0.01878,            0.014064,             0.53102,              0.4035,             0.35736,             0.16683,            0.053952,            0.018455,           0.0095248,            0.008515,            0.008515,            0.008515
                  17,            0.046596,            0.018245,            0.014509,             0.59916,             0.42433,             0.42218,             0.21215,             0.05384,            0.018203,             0.01102,            0.008416,            0.008416,            0.008416
                  18,            0.045285,            0.019129,            0.013807,             0.58491,             0.38462,             0.40499,             0.20668,            0.054244,            0.018385,            0.010181,            0.008317,            0.008317,            0.008317
                  19,            0.043848,             0.01851,            0.012724,             0.56903,             0.43115,             0.43364,             0.22573,            0.052077,            0.018571,            0.010974,            0.008218,            0.008218,            0.008218
                  20,            0.044472,            0.018408,            0.013005,             0.54708,             0.40233,             0.39908,             0.20417,            0.053951,            0.017684,            0.010461,            0.008119,            0.008119,            0.008119
                  21,            0.043505,            0.018255,             0.01442,             0.58207,             0.42386,             0.42074,             0.22727,            0.054481,            0.018317,            0.011397,             0.00802,             0.00802,             0.00802
                  22,            0.043855,            0.017347,            0.013166,             0.53453,             0.43659,             0.42009,             0.22209,            0.054177,             0.01862,           0.0093624,            0.007921,            0.007921,            0.007921
                  23,            0.042943,             0.01713,            0.012349,             0.61268,             0.40634,             0.41474,             0.23301,             0.05484,            0.019443,            0.010477,            0.007822,            0.007822,            0.007822
                  24,            0.042306,            0.018447,            0.012353,             0.58036,              0.4424,               0.433,             0.22948,             0.05247,            0.019829,            0.012018,            0.007723,            0.007723,            0.007723
                  25,            0.042345,            0.017796,            0.012772,             0.54352,             0.43276,             0.42109,             0.22978,            0.052042,            0.019303,           0.0096521,            0.007624,            0.007624,            0.007624
                  26,            0.042135,            0.018016,            0.012029,             0.59023,             0.45905,             0.44093,             0.24077,              0.0526,            0.018104,            0.011198,            0.007525,            0.007525,            0.007525
                  27,            0.041646,            0.017961,            0.012604,             0.63787,             0.38922,             0.42812,             0.21276,            0.051544,            0.018079,            0.014845,            0.007426,            0.007426,            0.007426
                  28,            0.042113,            0.017809,             0.01253,             0.62759,             0.43809,             0.43252,             0.23839,            0.052145,            0.018893,            0.011118,            0.007327,            0.007327,            0.007327
                  29,            0.041083,            0.017431,             0.01319,             0.54734,             0.48007,             0.43787,             0.24107,              0.0529,            0.018705,            0.012701,            0.007228,            0.007228,            0.007228
                  30,            0.040602,            0.017125,            0.012573,             0.57755,             0.40978,             0.40909,             0.21873,            0.053386,            0.018219,           0.0098153,            0.007129,            0.007129,            0.007129
