               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.075356,            0.021621,            0.030134,             0.13447,             0.10868,            0.088347,            0.043141,            0.063055,           0.0068197,            0.015082,              0.0701,           0.0033223,           0.0033223
                   1,            0.054953,            0.018416,            0.023993,             0.11565,             0.07037,            0.069756,             0.03003,            0.059622,           0.0079116,            0.020806,            0.039968,           0.0065238,           0.0065238
                   2,            0.052713,            0.017778,            0.023103,             0.28401,            0.088381,            0.091862,            0.037178,            0.061051,           0.0081306,           0.0097778,           0.0097041,           0.0095934,           0.0095934
                   3,            0.052399,            0.017669,            0.023441,            0.064435,            0.039216,            0.023719,           0.0081997,            0.065689,           0.0078495,            0.011977,            0.009406,            0.009406,            0.009406
                   4,            0.050712,            0.017801,            0.023211,            0.073861,             0.15839,            0.046824,             0.01743,            0.057305,           0.0092371,            0.011191,            0.009406,            0.009406,            0.009406
                   5,            0.048215,            0.017576,            0.022147,             0.11101,             0.18122,            0.096994,            0.035738,             0.05981,           0.0077643,            0.012263,            0.009208,            0.009208,            0.009208
                   6,            0.046711,            0.017446,            0.021773,             0.11882,             0.10098,            0.060323,              0.0287,            0.060303,            0.008092,             0.01602,             0.00901,             0.00901,             0.00901
                   7,            0.045392,            0.016618,            0.022213,            0.075512,             0.10302,            0.043701,            0.014211,            0.060324,           0.0081704,            0.012376,            0.008812,            0.008812,            0.008812
                   8,             0.04385,            0.017272,            0.022039,             0.13014,             0.13978,            0.069117,            0.033188,            0.056966,           0.0090505,            0.010698,            0.008614,            0.008614,            0.008614
                   9,            0.042601,            0.016956,             0.02083,             0.21933,             0.12996,              0.1064,            0.043774,            0.057161,           0.0083355,             0.01475,            0.008416,            0.008416,            0.008416
                  10,            0.042209,            0.016687,             0.02015,             0.13172,            0.097037,            0.079771,            0.034388,              0.0589,           0.0080823,             0.01029,            0.008218,            0.008218,            0.008218
